													
		FY 2023				FY 2024				FY 2025			
2.3	Develop engagement strategy to support metabolomics and metaproteomics standards				X								
2.4	Enhanced support for metabolomics or metaproteomics standards and controlled vocabulary					X	X	X	X				
2.5	Addition of new data types to schema, e.g. imaging and spectroscopy data									X			
2.6	Recruit and train a cohort of Ambassadors	X				X				X			
2.7	Analyze feedback from Ambassadors program activities for suggested improvements to NMDC products and activities, and summary of changes in perceptions toward data standards				X				X				X
2.8	Revise internal playbook, external handbook, template materials, and program procedures	X			X				X				X
2.9	Harmonizing environmental science standards support linking of climate data			X	X			X	X			X	X
2.10	Catalog of environmental processes and climate-relevant microbiome functions						X						
2.11	Develop engagement strategy to support climate-microbe priorities and community needs					X							
2.12	Updated metagenome annotation workflow with support for GO annotations	X	X	X	X								
2.13	Assembly support for long-read sequence data			X	X	X	X						
2.14	Metaproteomics workflow updated to remove matched metagenome requirement	X	X	X	X	X	X						
2.15	Combine data sets from a study for metaproteomics relative quantification							X	X	X	X	X	X
2.16	Enhanced NOM workflow			X	X	X	X						
2.17	Lipidomics workflow	X	X	X	X								
2.18	Parameterized reference selection for NOM and metabolomics							X	X	X	X	X	X
2.19	Evaluation of GeNomad codebase and database, and encoding into WDL	X	X	X									
2.20	Define the outline and deliverables of a partnership with ICTV for implementing viral taxonomy into a robust, reproducible, and machine-readable framework, Year 2, Q2	X	X	X	X								
2.21	Integration plan for SeqCode taxonomy in reference database			X	X	X	X						
2.22	Determine feasibility of sharing MAG data with SeqCode for novel taxonomy nomenclature additions					X	X	X	X				
2.23	Work with stakeholders to define metrics for when to use new databases to reprocess data	X	X	X	X	X	X	X	X	X	X	X	X
2.24	Develop a new educational framework, designed to be modular and accessible in a variety of formats	X				X				X			
2.25	Partner with the MCC to develop a Microbiome Data Science certificate program										X		
2.26	Sample Jupyter and RStudio notebooks available that highlight NMDC data and metadata				X				X				X
													
Product Initiative: Submission Portal													
3.1	Allow communities to create their own metadata template profiles				X	X			X	X			
3.2	Define EnvO value sets for supported environmental packages 					X	X	X	X				
3.3	Integrate metadata enrichment into sample interface						X	X	X				
3.4	Deploy a QC dashboard with user input	X	X	X	X	X							
3.5	Data harmonizer enhancements				X				X				X
													
Product Initiative: Data Portal & Public API													
4.1	Perform user research to refine the Data Portal user experience	X	X	X	X	X	X	X	X	X	X	X	X
4.2	Support for new data types								X	X	X		
4.3	Integration of Linked Data component for microbiome-climate semantic framework										X		
4.4	Semantic exploration layer of climate-microbe associations built into Portal visualizations												X
4.5	Add visualizations that combine multi-omics data for analysis							X	X	X			
4.6	Add summary statistics that allow users to discern data and metadata quality												X
4.7	Deploy an MVP for the public API to support programmatic access	X					X				X		
4.8	Add support for all queries available in the data portal available via the public API				X		X						X
4.9	Perform user research to refine public API capabilities		X			X		X				X	
4.10	Deploy a fully functional public API to support programmatic data access and exploration								X				X
4.11	Expanded functional search capabilities				X								
													
Product Initiative: NMDC EDGE													
5.1	User testing to prioritize workflows & data types	X	X										
5.2	Support connections between the Submission Portal and NMDC EDGE					X	X	X	X	X	X	X	X
5.3	Enable workflow products and workflow metadata registration from NMDC EDGE to NMDC Data Portal			X	X	X	X	X	X	X	X	X	X
5.4	Include updated and new multi-omics workflows to be available in NMDC EDGE	X	X	X	X	X	X	X	X	X	X	X	X
5.5	Develop/Update documenation and training materials		X		X		X		X		X		X
